ID,TrainNum,Velocity,Heading,TrainState,RouteName,CMSID,OrigCode,DestCode,LastValTS,lat,lng
390210,110,49.8287696838379,E,Active,Northeast Regional,1241245668597,WAS,NYP,3/11/2015 6:01:39 AM,40.00146,-75.09386
395835,172,49.8287696838379,E,Active,Northeast Regional,1241245668597,WAS,BOS,3/30/2015 9:38:29 AM,40.00126,-75.09543
401748,166,49.8287696838379,NE,Active,Northeast Regional,1241245668597,WAS,BOS,4/19/2015 7:32:20 PM,40.00237,-75.09201
395524,132,49.713695526123,E,Active,Northeast Regional,1241245668597,WAS,BOS,3/29/2015 5:32:08 PM,40.00144000000001,-75.09418
404427,180,49.5999984741211,N,Active,Northeast Regional,1241245668597,WAS,NYP,4/28/2015 7:38:52 AM,40.00132,-75.09477000000001
389587,184,49.5986137390137,NE,Active,Northeast Regional,1241245668597,WAS,NYP,3/9/2015 11:26:10 AM,40.00235,-75.09203
394188,94,49.5986137390137,E,Active,Northeast Regional,1241245668597,NPN,BOS,3/25/2015 4:13:17 PM,40.00128,-75.09586
402362,196,49.5986137390137,NE,Active,Northeast Regional,1241245668597,WAS,NYP,4/21/2015 7:11:23 PM,40.00263,-75.0917
394374,180,49.5,N,Active,Northeast Regional,1241245668597,WAS,NYP,3/25/2015 7:39:23 AM,40.0015,-75.09396
405363,186,49.5,N,Active,Northeast Regional,1241245668597,WAS,NYP,5/1/2015 3:12:07 PM,40.00369,-75.09070000000001
399524,156,49.4835395812988,NE,Active,Northeast Regional,1241245668597,LYH,NYP,4/12/2015 4:35:39 PM,40.00168,-75.09337
402171,176,49.4835395812988,E,Active,Northeast Regional,1241245668597,LYH,BOS,4/21/2015 2:07:58 PM,40.00132,-75.09637
387554,186,49.4000015258789,N,Active,Northeast Regional,1241245668597,WAS,NYP,3/2/2015 3:23:39 PM,40.00129,-75.09511
396264,94,49.3684616088867,E,Active,Northeast Regional,1241245668597,NPN,BOS,4/1/2015 5:08:03 PM,40.00139,-75.09442
401861,94,49.3684616088867,NE,Active,Northeast Regional,1241245668597,NPN,BOS,4/20/2015 5:11:17 PM,40.00402,-75.09022
403087,66,49.3684616088867,NE,Active,Northeast Regional,1241245668597,NPN,BOS,4/25/2015 1:02:42 AM,40.00173,-75.09323
401221,186,49.342399597168,NE,Active,Northeast Regional,1241245668597,WAS,NYP,4/17/2015 3:11:03 PM,40.00224,-75.09235
407125,186,49.3343391418457,E,Active,Northeast Regional,1241245668597,WAS,NYP,5/7/2015 3:15:54 PM,40.00129,-75.09563
404244,176,49.2999992370605,N,Active,Northeast Regional,1241245668597,LYH,BOS,4/28/2015 2:08:27 PM,40.0013,-75.09487
392112,176,49.1383056640625,E,Active,Northeast Regional,1241245668597,LYH,BOS,3/18/2015 2:08:21 PM,40.00134,-75.09652
392878,174,49.1383056640625,E,Active,Northeast Regional,1241245668597,NFK,BOS,3/20/2015 12:41:32 PM,40.00145,-75.09402
407431,170,49.1383056640625,NE,Active,Northeast Regional,1241245668597,WAS,BOS,5/8/2015 6:58:56 AM,40.00216,-75.09228
394799,66,49.0999984741211,N,Active,Northeast Regional,1241245668597,NPN,BOS,3/28/2015 12:29:41 AM,40.00221,-75.09242
390535,196,49.0232238769531,NE,Active,Northeast Regional,1241245668597,WAS,NYP,3/12/2015 7:11:57 PM,40.00211,-75.09248
395511,198,49.0232238769531,NE,Active,Northeast Regional,1241245668597,WAS,NYP,3/29/2015 11:26:14 PM,40.00382,-75.0904
402354,180,49.0232238769531,E,Active,Northeast Regional,1241245668597,WAS,NYP,4/21/2015 7:38:09 AM,40.001270000000005,-75.09585
405902,190,49.0232238769531,E,Active,Northeast Regional,1241245668597,WAS,BOS,5/4/2015 5:27:07 AM,40.00128,-75.09582
388164,188,49,S,Active,Northeast Regional,1241245668597,WAS,NYP,3/4/2015 9:27:11 PM,40.001270000000005,-75.09593
396467,190,49,N,Active,Northeast Regional,1241245668597,WAS,BOS,4/2/2015 5:47:29 AM,40.0013,-75.0954
400717,84,49,N,Active,Northeast Regional,1241245668597,RVR,NYP,4/16/2015 1:17:40 PM,40.00411,-75.09032
407549,66,49,N,Active,Northeast Regional,1241245668597,NPN,BOS,5/10/2015 12:41:35 AM,40.00347,-75.09106
387546,170,48.7999992370605,S,Active,Northeast Regional,1241245668597,WAS,BOS,3/2/2015 6:57:24 AM,40.00133,-75.09659
397909,178,48.7930717468262,E,Active,Northeast Regional,1241245668597,WAS,BOS,4/6/2015 6:13:20 PM,40.00126,-75.09527
398014,66,48.7880516052246,NE,Active,Northeast Regional,1241245668597,NPN,BOS,4/8/2015 12:31:00 AM,40.00412,-75.09025
398209,130,48.6856994628906,E,Active,Northeast Regional,1241245668597,WAS,NYP,4/7/2015 8:45:52 AM,40.001270000000005,-75.09541
388293,86,48.6779899597168,E,Active,Northeast Regional,1241245668597,RVR,BOS,3/5/2015 11:01:44 AM,40.00141,-75.09406
395252,192,48.6779899597168,NE,Active,Northeast Regional,1241245668597,WAS,NYP,3/28/2015 7:41:13 PM,40.00394,-75.09032
402007,174,48.5999984741211,N,Active,Northeast Regional,1241245668597,NFK,BOS,4/20/2015 12:27:15 PM,40.00137,-75.09492
400913,196,48.562915802002,NE,Active,Northeast Regional,1241245668597,WAS,NYP,4/16/2015 7:23:11 PM,40.00208,-75.09246
